Date,Sales
05/05/2017,881
06/05/2017,1042
07/05/2017,836
08/05/2017,714
09/05/2017,678
10/05/2017,795
11/05/2017,663
12/05/2017,886
13/05/2017,1059
14/05/2017,921
15/05/2017,715
16/05/2017,685
17/05/2017,751
18/05/2017,668
19/05/2017,872
20/05/2017,1044
21/05/2017,866
22/05/2017,760
23/05/2017,713
24/05/2017,781
25/05/2017,913
26/05/2017,2204
27/05/2017,1843
28/05/2017,1020
29/05/2017,740
30/05/2017,703
31/05/2017,882
01/06/2017,727
02/06/2017,873
03/06/2017,1049
04/06/2017,858
05/06/2017,717
06/06/2017,656
07/06/2017,761
08/06/2017,695
09/06/2017,842
10/06/2017,1066
11/06/2017,804
12/06/2017,722
13/06/2017,636
14/06/2017,747
15/06/2017,721
16/06/2017,855
17/06/2017,1039
18/06/2017,859
19/06/2017,659
20/06/2017,722
21/06/2017,722
22/06/2017,666
23/06/2017,909
24/06/2017,1057
25/06/2017,858
26/06/2017,688
27/06/2017,707
28/06/2017,791
29/06/2017,693
30/06/2017,937
01/07/2017,1241
02/07/2017,964
03/07/2017,782
04/07/2017,700
05/07/2017,820
06/07/2017,724
07/07/2017,894
08/07/2017,1044
09/07/2017,876
10/07/2017,660
11/07/2017,685
12/07/2017,817
13/07/2017,699
14/07/2017,953
15/07/2017,1057
16/07/2017,866
17/07/2017,710
18/07/2017,737
19/07/2017,861
20/07/2017,749
21/07/2017,1011
22/07/2017,1438
23/07/2017,1523
24/07/2017,896
25/07/2017,758
26/07/2017,817
27/07/2017,758
28/07/2017,938
29/07/2017,1084
30/07/2017,947
31/07/2017,853
01/08/2017,839
02/08/2017,982
03/08/2017,869
04/08/2017,1021
05/08/2017,1171
06/08/2017,957
07/08/2017,899
08/08/2017,823
09/08/2017,1014
10/08/2017,1044
11/08/2017,2195
12/08/2017,1946
13/08/2017,1107
14/08/2017,935
15/08/2017,849
